"Account","Description","Unit Cost","Quantity","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Notes"
"Communications: Branding & Marketing","Communications: Branding & Marketing","","","2000","2100","2000","0","300","0","0","0","0","0","0","0",""
"4040 Printing","4040 Printing","","","0","100","0","0","300","0","0","0","0","0","0","0",""
"4070 Advertising","4070 Advertising","","","2000","2000","2000","0","0","0","0","0","0","0","0","0",""
"Programs: Field Investigation","Programs: Field Investigation","","","40","191","0","0","0","0","0","0","0","0","40","0",""
"7305 Baykeeper Boat","7305 Baykeeper Boat","","","40","40","0","0","0","0","0","0","0","0","40","0",""
"7350 Travel","7350 Travel","","","0","151","0","0","0","0","0","0","0","0","0","0",""
"Programs: Projects","Programs: Projects","","","822","5822","5822","182","182","182","182","182","182","182","182","182",""
"7410 Consulting","7410 Consulting","","","0","5000","5000","0","0","0","0","0","0","0","0","0",""
"7435 Technology & Software","7435 Technology & Software","","","54","54","54","54","54","54","54","54","54","54","54","54",""
"7460 Meals","7460 Meals","","","88","88","88","88","88","88","88","88","88","88","88","88",""
"7455 Travel","7455 Travel","","","680","680","680","40","40","40","40","40","40","40","40","40",""
