"Account","Description","Unit Cost","Quantity","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Notes"
"Communications: Branding & Marketing","Communications: Branding & Marketing","","","2083","5833","2083","0","0","0","0","0","2083","5833","2083","0",""
"4020 Contractors","4020 Contractors","","","0","3750","0","0","0","0","0","0","0","3750","0","0",""
"4070 Advertising","4070 Advertising","","","2083","2083","2083","0","0","0","0","0","2083","2083","2083","0",""
"Operations: Facilities & Equipment","Operations: Facilities & Equipment","","","23","23","23","23","23","23","23","23","23","23","23","23",""
"6335 Postage","6335 Postage","","","2","2","2","2","2","2","2","2","2","2","2","2",""
"6340 Printing","6340 Printing","","","21","21","21","21","21","21","21","21","21","21","21","21",""
"Programs: Field Investigation","Programs: Field Investigation","","","80","0","0","380","800","1800","380","1800","0","80","0","0",""
"7305 Baykeeper Boat","7305 Baykeeper Boat","","","50","0","0","50","0","0","50","0","0","50","0","0",""
"7310 Contractors","7310 Contractors","","","0","0","0","0","0","1500","0","1500","0","0","0","0",""
"7315 Field Equipment","7315 Field Equipment","","","0","0","0","0","500","0","0","0","0","0","0","0",""
"7320 Laboratory","7320 Laboratory","","","0","0","0","0","300","300","300","300","0","0","0","0",""
"7340 Testing Supplies","7340 Testing Supplies","","","0","0","0","300","0","0","0","0","0","0","0","0",""
"7350 Travel","7350 Travel","","","30","0","0","30","0","0","30","0","0","30","0","0",""
"Programs: Projects","Programs: Projects","","","9360","8860","9360","8860","9360","10860","9360","9360","9360","8860","9360","8860",""
"7410 Consulting","7410 Consulting","","","7500","7500","7500","7500","7500","7500","7500","7500","7500","7500","7500","7500",""
"7415: Contractors","7415: Contractors","","","500","0","500","0","500","500","500","500","500","0","500","0",""
"7465 Conferences","7465 Conferences","","","0","0","0","0","0","1500","0","0","0","0","0","0",""
"7455 Travel","7455 Travel","","","1360","1360","1360","1360","1360","1360","1360","1360","1360","1360","1360","1360",""
