"Account","Description","Unit Cost","Quantity","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Notes"
"Communications: Branding & Marketing","Communications: Branding & Marketing","","","0","0","300","300","0","300","0","300","4500","300","0","0",""
"4020 Contractors","4020 Contractors","","","0","0","0","0","0","0","0","0","4000","0","0","0",""
"4040 Printing","4040 Printing","","","0","0","0","0","0","0","0","0","500","0","0","0",""
"4070 Advertising","4070 Advertising","","","0","0","300","300","0","300","0","300","0","300","0","0",""
"Programs: Field Investigation","Programs: Field Investigation","","","0","0","0","0","0","10","0","10","0","10","0","10",""
"7350 Travel","7350 Travel","","","0","0","0","0","0","10","0","10","0","10","0","10",""
"Programs: Projects","Programs: Projects","","","30","30","4280","30","4416","1416","3166","30","30","166","166","30",""
"7410 Consulting","7410 Consulting","","","0","0","3000","0","4000","0","3000","0","0","0","0","0",""
"7460 Meals","7460 Meals","","","0","0","1250","0","0","1250","0","0","0","0","0","0",""
"7455 Travel","7455 Travel","","","30","30","30","30","416","166","166","30","30","166","166","30",""
