STOP! Read the comment in this cell FIRST for sheet instructions and rules. 	 Overall Projects Budget 														 Mud Dumping 														 Coal Ash 														 BCSS 														 Prichard 														 Hog Bayou 														 Toxics Criteria 														 Numeric Nutrient Criteria 														 Dam Removal 														 Poop Policy 														 Oyster Planting Project 														 Oyster Keeper 														 Oyster Hatchery Project 														 Oyster Farm Project 														 Oyster Monitoring Project 														 Project 													 Project Totals 
	 January 	 February 	 March 	 April 	 May 	 June 	 July 	 August 	 September 	 October 	 November 	 December 	 Project Totals 		 January 	 February 	 March 	 April 	 May 	 June 	 July 	 August 	 September 	 October 	 November 	 December 	 Project Totals 		 January 	 February 	 March 	 April 	 May 	 June 	 July 	 August 	 September 	 October 	 November 	 December 	 Project Totals 		 January 	 February 	 March 	 April 	 May 	 June 	 July 	 August 	 September 	 October 	 November 	 December 	 Project Totals 		 January 	 February 	 March 	 April 	 May 	 June 	 July 	 August 	 September 	 October 	 November 	 December 	 Project Totals 		 January 	 February 	 March 	 April 	 May 	 June 	 July 	 August 	 September 	 October 	 November 	 December 	 Project Totals 		 January 	 February 	 March 	 April 	 May 	 June 	 July 	 August 	 September 	 October 	 November 	 December 	 Project Totals 		 January 	 February 	 March 	 April 	 May 	 June 	 July 	 August 	 September 	 October 	 November 	 December 	 Project Totals 		 January 	 February 	 March 	 April 	 May 	 June 	 July 	 August 	 September 	 October 	 November 	 December 	 Project Totals 		 January 	 February 	 March 	 April 	 May 	 June 	 July 	 August 	 September 	 October 	 November 	 December 	 Project Totals 		 January 	 February 	 March 	 April 	 May 	 June 	 July 	 August 	 September 	 October 	 November 	 December 	 Project Totals 		 January 	 February 	 March 	 April 	 May 	 June 	 July 	 August 	 September 	 October 	 November 	 December 	 Project Totals 		 January 	 February 	 March 	 April 	 May 	 June 	 July 	 August 	 September 	 October 	 November 	 December 	 Project Totals 		 January 	 February 	 March 	 April 	 May 	 June 	 July 	 August 	 September 	 October 	 November 	 December 	 Project Totals 		 January 	 February 	 March 	 April 	 May 	 June 	 July 	 August 	 September 	 October 	 November 	 December 		 January 
 Communications: Branding & Marketing 	 $4,517 	 $8,367 	 $5,317 	 $933 	 $733 	 $1,233 	 $433 	 $733 	 $7,517 	 $8,600 	 $3,850 	 $1,767 	 $44,000 		 $2,083 	 $5,833 	 $2,083 	 $-   	 $-   	 $-   	 $-   	 $-   	 $2,083 	 $5,833 	 $2,083 	 $-   	 $20,000 		 $2,000 	 $2,100 	 $2,000 	 $-   	 $300 	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $6,400 		 $-   	 $-   	 $500 	 $200 	 $-   	 $500 	 $-   	 $-   	 $500 	 $700 	 $-   	 $-   	 $2,400 		 $-   	 $-   	 $300 	 $300 	 $-   	 $300 	 $-   	 $300 	 $4,500 	 $300 	 $-   	 $-   	 $6,000 		 $433 	 $433 	 $433 	 $433 	 $433 	 $433 	 $433 	 $433 	 $433 	 $433 	 $433 	 $433 	 $5,200 		 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   		 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   		 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   		 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   		 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   		 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $1,333 	 $1,333 	 $1,333 	 $4,000 		 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   		 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   		 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   		 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   		 #REF! 
 4010 Consulting 	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   															 #REF! 
 4020 Contractors 	 $-   	 $3,750 	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $4,000 	 $5,083 	 $1,333 	 $1,333 	 $15,500 			 $3,750 								 $3,750 			 $7,500 														 $-   								 $-   						 $-   										 $4,000 				 $4,000 														 $-   				 $-   										 $-   														 $-   														 $-   														 $-   														 $-   											 $1,333 	 $1,333 	 $1,333 	 $4,000 														 $-   														 $-   														 $-   															 #REF! 
 4030 Design 	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   															 #REF! 
 4040 Printing 	 $167 	 $267 	 $167 	 $367 	 $467 	 $167 	 $167 	 $167 	 $667 	 $367 	 $167 	 $167 	 $3,300 														 $-   			 $100 			 $300 								 $400 					 $200 						 $200 			 $400 										 $500 				 $500 		 $167 	 $167 	 $167 	 $167 	 $167 	 $167 	 $167 	 $167 	 $167 	 $167 	 $167 	 $167 	 $2,000 														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   															 #REF! 
 4050 Technology & Software 	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   															 #REF! 
 4060 Website 	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   															 #REF! 
 4070 Advertising 	 $4,350 	 $4,350 	 $5,150 	 $567 	 $267 	 $1,067 	 $267 	 $567 	 $2,850 	 $3,150 	 $2,350 	 $267 	 $25,200 		 $2,083 	 $2,083 	 $2,083 						 $2,083 	 $2,083 	 $2,083 		 $12,500 		 $2,000 	 $2,000 	 $2,000 										 $6,000 				 $500 			 $500 			 $500 	 $500 			 $2,000 				 $300 	 $300 		 $300 		 $300 		 $300 			 $1,500 		 $267 	 $267 	 $267 	 $267 	 $267 	 $267 	 $267 	 $267 	 $267 	 $267 	 $267 	 $267 	 $3,200 														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   															 #REF! 
 Operations: Facilities & Equipment 	 $23 	 $23 	 $23 	 $23 	 $23 	 $23 	 $23 	 $23 	 $23 	 $23 	 $23 	 $23 	 $275 		 $23 	 $23 	 $23 	 $23 	 $23 	 $23 	 $23 	 $23 	 $23 	 $23 	 $23 	 $23 	 $275 		 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   		 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   		 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   		 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   		 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   		 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   		 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   		 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   		 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   		 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   		 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   		 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   		 #REF! 
 6335 Postage 	 $2 	 $2 	 $2 	 $2 	 $2 	 $2 	 $2 	 $2 	 $2 	 $2 	 $2 	 $2 	 $25 		 $2 	 $2 	 $2 	 $2 	 $2 	 $2 	 $2 	 $2 	 $2 	 $2 	 $2 	 $2 	 $25 														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   															 #REF! 
