project_slug,milestone_order,milestone_title,milestone_description,due_date,due_quarter,department_code,push_number,is_critical,status
mud-dumping,1,Cost-delta sheet delivered,Cost-delta sheet delivered to AL delegation,2025-09-30,Q3 2025,GA,,TRUE,PLANNED
mud-dumping,2,Rep. Wilcox statement released,Rep. Wilcox statement released,2025-09-30,Q3 2025,COMMS,,FALSE,PLANNED
mud-dumping,3,FY26 Appropriations outcome known,FY26 Appropriations outcome known,2025-09-30,Q3 2025,GA,,TRUE,PLANNED
mud-dumping,4,State bill pre-filed,State bill pre-filed,2025-12-31,Q4 2025,GA,,TRUE,PLANNED
mud-dumping,5,MOA draft circulated to Port/USACE,MOA draft circulated to Port/USACE,2026-03-30,Q1 2026,PM,,TRUE,PLANNED
mud-dumping,6,Alabama bill outcome determined,Alabama bill outcome determined,2026-06-30,Q2 2026,GA,,TRUE,PLANNED
mud-dumping,7,WRDA markups include our desired language,WRDA markups include our desired language,2026-09-30,Q2 2026,GA,,TRUE,PLANNED
mud-dumping,8,Litigation gate if federal progress stalls,Litigation gate if federal progress stalls,2026-12-31,Q4 2026,GA,,FALSE,PLANNED
mud-dumping,9,WRDA 2026 final passage with favorable language,WRDA 2026 final passage with favorable language,2026-12-31,Q4 2026,GA,,TRUE,PLANNED
mud-dumping,10,>=25% reduction in in-bay disposal vs baseline,>=25% reduction in in-bay disposal vs baseline,2027-09-30,Q3 2027,FR,,TRUE,PLANNED
