project_slug,milestone_order,milestone_title,milestone_description,due_date,due_quarter,department_code,push_number,is_critical,status
prichard-wastewater,0,Distribute test kits,Distribute test kits,2025-09-30,Q3 2025,CE,1,TRUE,PLANNED
prichard-wastewater,1,Community debriefs,Community debriefs on early testing,2025-12-31,Q4 2025,CE,1,TRUE,PLANNED
prichard-wastewater,2,ADEM TMF Mtg.,TMF pathway meeting conducted with ADEM staff; meeting minutes sent,2026-01-15,Q1 2026,GA,1,TRUE,PLANNED
prichard-wastewater,3,Listening Session,Listening Session #1 held with >=50 attendees (opt-in list captured),2025-06-30,Q4 2025,CE,1,TRUE,PLANNED
prichard-wastewater,4,>=$10M committed,"Secure >=$10M in funding commitments for near-term spill-prevention up",2026-09-30,Q3 2026,GA,1,TRUE,PLANNED
prichard-wastewater,5,ADEM leadership mtg.,ADEM leadership meeting held,2026-03-30,Q1 2026,GA,1,TRUE,PLANNED
prichard-wastewater,6,TMF Decision,TMF Requirement Path delivered by ADEM,2026-06-30,Q2 2026,GA,1,TRUE,PLANNED
prichard-wastewater,7,>$10M awarded,>$10m in funding actually awarded to the utility,2026-12-31,Q4 2026,GA,1,TRUE,PLANNED
prichard-wastewater,8,Critical projects begin,Funded projects equal to identified critical projects and are in construction,2027-06-30,Q2 2027,PM,1,TRUE,PLANNED
prichard-wastewater,9,WQ Impact Report,Water-quality impact report completed and published,2028-12-01,Q4 2028,FR,1,FALSE,PLANNED
prichard-wastewater,10,Compliance Achieved,Outfall bacteria compliance window closes with all samples in-limit,2027-09-30,Q3 2027,FR,1,TRUE,PLANNED
prichard-wastewater,11,>=0.5M gal spill decrease,Achieve >=0.5M gallon annual reduction in sewage spills (baseline -> 2027),2028-06-15,Q2 2028,PM,1,TRUE,PLANNED
